name,price_cur,price_prev
"Перец ""Kotanyi"" черный горошек, 36г",299.90,
"Крабовое мясо ""Vici"", охлажденное, 200г",109.90,
"Приправа ""Kotanyi"" Смесь 4-х перцев, 35г",299.90,
"Десерт ""Б.Ю. Александров""/""А. РостАгроКомплекс"" Чизкейк клубничный, 15%, 40г",62.99,
"Пельмени ""Сибирская Коллекция"" Сочные с фаршем на молоке, 430г",99.99,249.90
"Чистящее средство для кухни ""Sanita"" Антижир, 500мл",139.90,349.90
"Пельмени ""Сибирская Коллекция"" Особые на сливках, 700г",229.90,559.90
"Мороженое ""Как раньше"" пломбир крем- брюле брикет, 220г БЗМЖ",69.99,169.90
"Конфеты ""РотФронт"" Ромашки",329.90,792.40
"Батончик ""SmartBar"" Protein протеиновый в глазури с бананом, 40г",29.99,68.99
"Батончик ""SmartBar"" Protein в ассортименте, 40г",29.99,68.99
"Наггетсы ""Мираторг"" куриные классические, 300г",99.99,232.90
"Наггетсы ""Мираторг"" куриные с ветчиной, 300г",99.99,232.90
"Мороженое ""Чистая линия"" Эскимо Волшебный фонарь, 80г",59.99,139.90
"Мороженое ""Monterra"" Кленовый сироп и грецкий орех, 480мл",299.90,699.90
"Конфеты ""Комильфо"" шоколадные Фисташка, 116г",199.90,449.90
"Конфеты ""Вдохновение"" Пралине с фундуком шоколадные, 215г",269.90,594.90
"Пюре ""Сады Придонья"" Яблоко, груша, слива, 125г",17.99,39.99
"Конфеты ""Россия"" с вафлей и молочным шоколадом, 128г",89.99,199.90
"Пюре ""Сады Придонья"" Цветная капуста, 125г",17.99,39.99
"Пюре Сады Придонья Яблоко с 4 месяцев, 125г",17.99,39.99
"Сыр ""Valio"" Viola плавленый с белыми грибами 8 порций 45%, 130г",59.99,129.90
"Сыр полутвердый ""Стародубский"" Тильзитер, 45%, 400г",179.90,389.90
"Пряники ""Штучки"" с шоколадом, апельсиновыми и лимонными цукатами, 250г",59.99,129.90
"Филе грудки куриное охлажденное, 0,85-1,1кг",249.90,
"Голень куриная охлажденная, 0,85-1,1кг",179.90,219.90
"Бедро куриное охлажденное, 0,85-1,1кг",169.90,
"Цыпленок-бройлер охлажденный, 1,3-2,2кг",127.90,
"Утка по-китайски ""Утиная ферма"", охлажденная",229.90,329.90
"Ребрышки свиные ""Черкизово"" Аппетитные в маринаде",329.90,
"Фарш ""Д"" Мясоедов домашний охлажденный, 400г",159.90,
"Шашлык из цыпленка-бройлера ""Троекурово"" Фирменный, охлажденный",169.90,
"Лопатка ""Слово"" свиная охлажденная, 0,8-1,2кг",239.90,
"Колбаски ""Ближние Горки"" Чевапчичи из свинины охлажденные, 300г",179.90,
"Фарш свиной ""Иван Мясоедов"", охлажденный, 300г",99.99,
"Фарш ""Петровский"", замороженный, 400г",89.99,
"Котлеты ""Иван Мясоедов"" Домашние, охлажденные, 400г",115.90,
"Бедро куриное ""Петелинка"" бескостное без кожи охлажденное, 0,75-1,15кг",349.90,
"Рулька свиная ""Черкизово"" Для запекания, в специях",369.90,
"Фарш ""Ближние горки"" деревенский охлажденный, 400г",119.90,179.90
"Колбаски ""Черкизово"" с чесноком, 450г",159.90,
"Грудка куриная охлажденная, 0,85-1,1кг",199.90,
"Колбаски ""Мираторг"" Black Angus Чевапчичи из говядины охлажденные, 300г",169.90,
"Шницель ""Д""/""Иван Мясоедов"" из свинины охлажденный, 400г",179.90,
"Сметана ""Хуторок"" 15%, 300г",69.99,
"Сметана ""Хуторок"" 20%, 300г",79.99,
"Молоко ""Простоквашино"" Отборное пастеризованное 3,4-4,5%, 930мл",83.99,
"Творожок ""Даниссимо"" с изысканным шоколадом 6,7%, 130г",69.99,
"Сметана ""Простоквашино"" 15%, 300г",69.99,
"Сметана ""Простоквашино"", 20%, 300г",99.99,
"Сметана ""Домик в деревне"", 20%, 300г",69.99,101.90
